,KO_B477,WT_B483,WT_B559,KO_B560,KO_B561,WT_B562
ENSMUSG00000100280,0,1,0,0,0,0
ENSMUSG00000101223,1,0,0,0,0,0
ENSMUSG00000026125,0,0,0,0,0,0
ENSMUSG00000101116,0,0,0,0,0,0
ENSMUSG00000026124,0,0,0,0,0,0
ENSMUSG00000101803,0,0,0,0,0,0
ENSMUSG00000037529.,0,0,0,0,0,0
ENSMUSG00000045815,0,0,0,0,0,0
ENSMUSG00000045174.,0,0,0,0,0,0
ENSMUSG00000100524,0,0,0,0,0,0
ENSMUSG00000102499,0,0,0,0,0,0
ENSMUSG00000103521,0,0,0,0,0,0
ENSMUSG00000104098,0,0,0,0,0,0
ENSMUSG00000037509.,13,5,1,0,1,2
ENSMUSG00000102537,0,0,0,0,0,0
ENSMUSG00000102612,0,0,0,0,0,0
ENSMUSG00000104002,6,1,1,0,1,2
ENSMUSG00000037503.,2268,1168,1452,367,817,1676
ENSMUSG00000104358,10,1,3,0,2,4
ENSMUSG00000026123.,451,152,206,25,74,219
ENSMUSG00000103716,0,0,0,0,0,0
ENSMUSG00000103548,2,0,0,0,0,1
ENSMUSG00000103760,0,0,0,0,0,0
ENSMUSG00000103997,0,0,0,0,0,0
ENSMUSG00000077231,0,0,0,0,0,0
ENSMUSG00000104417,0,0,0,0,0,0
ENSMUSG00000064601,0,0,0,0,0,0
ENSMUSG00000101714,0,0,0,0,0,0
ENSMUSG00000102531,0,0,0,0,1,0
ENSMUSG00000103096,0,0,0,0,0,0
ENSMUSG00000102279,0,0,0,0,0,0
ENSMUSG00000103708,0,1,0,0,1,0
ENSMUSG00000104201,0,0,0,0,0,0
ENSMUSG00000102434,0,0,0,0,0,0
ENSMUSG00000045216,7288,4647,4892,1400,2673,6448
ENSMUSG00000104523,0,0,0,0,0,0
ENSMUSG00000102202,35,9,3,2,6,4
ENSMUSG00000037470.,4654,2250,2481,527,1380,3197
ENSMUSG00000098752,0,0,0,0,0,0
ENSMUSG00000047180,219,78,40,13,23,17
ENSMUSG00000037447.,71,24,41,13,17,43
ENSMUSG00000102762,0,0,1,0,0,1
ENSMUSG00000010453.,1491,726,737,317,459,1295
ENSMUSG00000098680,0,0,0,0,0,0
ENSMUSG00000037432.,129,42,53,11,51,107
ENSMUSG00000001143.,506,276,349,87,181,478
ENSMUSG00000037408.,376,103,113,60,96,169
ENSMUSG00000104316,3,0,0,0,0,0
ENSMUSG00000106081,0,0,0,0,0,0
ENSMUSG00000001138.,654,319,347,96,258,481
ENSMUSG00000102845,0,0,0,0,0,0
ENSMUSG00000067653.,5,7,6,1,3,9
